prefix	unique_tcid_count	first5	last5	top_sources
AIOS	131	AIOS/SR/CI/BV-01-C, AIOS/SR/CI/BV-02-C, AIOS/SR/CI/BV-03-C, AIOS/SR/CI/BV-04-C, AIOS/SR/CI/BV-05-C	AIOS/SR/SGGIT/CHA/BV-61-C, AIOS/SR/SGGIT/CHA/BV-62-C, AIOS/SR/SGGIT/CHA/BV-63-C, AIOS/SR/SGGIT/SDP/BV-01-C, AIOS/SR/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/aios_aggregate_indication.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/aios_aggregate_notification.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/aios_indication.json
ANP	18	ANP/CL/ANPCF/BV-01-C, ANP/CL/ANPCF/BV-02-C, ANP/CL/ANPCF/BV-03-C, ANP/CL/ANPCF/BV-04-C, ANP/CL/ANPNF/BV-01-C	ANP/CL/CGGIT/CHA/BV-02-C, ANP/CL/CGGIT/CHA/BV-03-C, ANP/CL/CGGIT/CHA/BV-04-C, ANP/CL/CGGIT/CHA/BV-05-C, ANP/CL/CGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/anp.json
ANS	28	ANS/SR/CN/BV-01-C, ANS/SR/CN/BV-02-C, ANS/SR/CR/BV-01-C, ANS/SR/CR/BV-02-C, ANS/SR/CW/BV-01-C	ANS/SR/SP/BV-08-C, ANS/SR/SP/BV-09-C, ANS/SR/SP/BV-10-C, ANS/SR/SP/BV-11-C, ANS/SR/SP/BV-12-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/ans.json
BAS	7	BAS/SR/CN/BV-01-C, BAS/SR/CON/BV-01-C, BAS/SR/CR/BV-01-C, BAS/SR/DEC/BV-01-C, BAS/SR/DES/BV-01-C	BAS/SR/CR/BV-01-C, BAS/SR/DEC/BV-01-C, BAS/SR/DES/BV-01-C, BAS/SR/DES/BV-02-C, BAS/SR/SD/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/bas.json
BCS	17	BCS/SR/CI/BV-01-C, BCS/SR/CI/BV-02-C, BCS/SR/CI/BV-03-C, BCS/SR/CI/BV-04-C, BCS/SR/CI/BV-05-C	BCS/SR/CI/BV-13-C, BCS/SR/CI/BV-14-C, BCS/SR/CI/BV-15-C, BCS/SR/CON/BV-01-C, BCS/SR/CR/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/bcs.json
BLS	18	BLS/SEN/CI/BV-01-C, BLS/SEN/CI/BV-02-C, BLS/SEN/CI/BV-03-C, BLS/SEN/CI/BV-04-C, BLS/SEN/CI/BV-05-C	BLS/SEN/SGGIT/CHA/BV-02-C, BLS/SEN/SGGIT/CHA/BV-03-C, BLS/SEN/SGGIT/CHA/BV-04-C, BLS/SEN/SGGIT/SER/BV-01-C, BLS/SEN/SP/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/bls.json
BMS	15	BMS/SEN/CPE/BI-02-C, BMS/SEN/CPP/BV-02-C, BMS/SEN/CPP/BV-06-C, BMS/SEN/CPP/BV-10-C, BMS/SEN/CPP/BV-12-C	BMS/SEN/CPP/BV-24-C, BMS/SEN/CW/BV-04-C, BMS/SEN/SGGIT/CHA/BV-03-C, BMS/SEN/SGGIT/CHA/BV-05-C, BMS/SEN/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/bms_auth.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/bms_no_auth.json
CGMS	79	CGMS/SEN/CBE/BI-01-C, CGMS/SEN/CBE/BI-02-C, CGMS/SEN/CBE/BI-03-C, CGMS/SEN/CBE/BI-04-C, CGMS/SEN/CBE/BI-05-C	CGMS/SEN/SGGIT/CHA/BV-05-C, CGMS/SEN/SGGIT/CHA/BV-06-C, CGMS/SEN/SGGIT/CHA/BV-07-C, CGMS/SEN/SGGIT/CHA/BV-08-C, CGMS/SEN/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/cgms_e2ecrc_off.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/cgms_e2ecrc_on.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/cgms_e2ecrc_session_stop.json
CPS	46	CPS/SEN/CN/BI-01-C, CPS/SEN/CN/BV-01-C, CPS/SEN/CN/BV-02-C, CPS/SEN/CN/BV-03-C, CPS/SEN/CN/BV-04-C	CPS/SEN/SPP/BV-10-C, CPS/SEN/SPP/BV-11-C, CPS/SEN/SPP/BV-12-C, CPS/SEN/SPS/BV-01-C, CPS/SEN/SPS/BV-02-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/cps_force.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/cps_torque.json
CSCS	16	CSCS/SEN/CN/BV-01-C, CSCS/SEN/CN/BV-03-C, CSCS/SEN/CN/BV-04-C, CSCS/SEN/CON/BV-01-C, CSCS/SEN/CON/BV-02-C	CSCS/SEN/SPE/BI-05-C, CSCS/SEN/SPL/BV-01-C, CSCS/SEN/SPS/BV-01-C, CSCS/SEN/SPS/BV-02-C, CSCS/SEN/SPU/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/cscs.json
