manifest     zephyr                       HEAD                                     N/A
acpica       modules/lib/acpica           8d24867bc9c9d81c81eeac59391cda59333affd4 https://github.com/zephyrproject-rtos/acpica
cmsis        modules/hal/cmsis            4b96cbb174678dcd3ca86e11e1f24bc5f8726da0 https://github.com/zephyrproject-rtos/cmsis
cmsis-dsp    modules/lib/cmsis-dsp        6489e771e9c405f1763b52d64a3f17a1ec488ace https://github.com/zephyrproject-rtos/cmsis-dsp
cmsis-nn     modules/lib/cmsis-nn         ea987c1ca661be723de83bd159aed815d6cbd430 https://github.com/zephyrproject-rtos/cmsis-nn
edtt         tools/edtt                   8d7b543d4d2f2be0f78481e4e1d8d73a88024803 https://github.com/zephyrproject-rtos/edtt
fatfs        modules/fs/fatfs             427159bf95ea49b7680facffaa29ad506b42709b https://github.com/zephyrproject-rtos/fatfs
hal_adi      modules/hal/adi              dee9a7b1eff13a9da0560daf8842d61657f9d61e https://github.com/zephyrproject-rtos/hal_adi
hal_altera   modules/hal/altera           4fe4df959d4593ce66e676aeba0b57f546dba0fe https://github.com/zephyrproject-rtos/hal_altera
hal_ambiq    modules/hal/ambiq            e25327f026df1ee08f1bf01a4bbfeb5e5f4026f1 https://github.com/zephyrproject-rtos/hal_ambiq
hal_atmel    modules/hal/atmel            56d60ebc909ad065bf6554cee73487969857614b https://github.com/zephyrproject-rtos/hal_atmel
hal_espressif modules/hal/espressif        87e7902d7184a8280b4d13bce79801a723f4ddd8 https://github.com/zephyrproject-rtos/hal_espressif
hal_ethos_u  modules/hal/ethos_u          8e2cf756b474eff9a32a9bdf1775d9620f1eadcf https://github.com/zephyrproject-rtos/hal_ethos_u
hal_gigadevice modules/hal/gigadevice       2994b7dde8b0b0fa9b9c0ccb13474b6a486cddc3 https://github.com/zephyrproject-rtos/hal_gigadevice
hal_infineon modules/hal/infineon         f25734a72c585f6675e8254a382e80e78a3cd03a https://github.com/zephyrproject-rtos/hal_infineon
hal_intel    modules/hal/intel            0905a528623de56b1bedf817536321bcdbc0efae https://github.com/zephyrproject-rtos/hal_intel
hal_microchip modules/hal/microchip        71eba057c0cb7fc11b6f33eb40a82f1ebe2c571c https://github.com/zephyrproject-rtos/hal_microchip
hal_nordic   modules/hal/nordic           ab5cb2e2faeb1edfad7a25286dcb513929ae55da https://github.com/zephyrproject-rtos/hal_nordic
hal_nuvoton  modules/hal/nuvoton          466c3eed9c98453fb23953bf0e0427fea01924be https://github.com/zephyrproject-rtos/hal_nuvoton
hal_nxp      modules/hal/nxp              862e001504bd6e0a4feade6a718e9f973116849c https://github.com/zephyrproject-rtos/hal_nxp
hal_openisa  modules/hal/openisa          eabd530a64d71de91d907bad257cd61aacf607bc https://github.com/zephyrproject-rtos/hal_openisa
hal_quicklogic modules/hal/quicklogic       bad894440fe72c814864798c8e3a76d13edffb6c https://github.com/zephyrproject-rtos/hal_quicklogic
hal_renesas  modules/hal/renesas          af77d7cdfeeff290593e7e99f54f0c1e2a3f91e6 https://github.com/zephyrproject-rtos/hal_renesas
hal_rpi_pico modules/hal/rpi_pico         fba7162cc7bee06d0149622bbcaac4e41062d368 https://github.com/zephyrproject-rtos/hal_rpi_pico
hal_silabs   modules/hal/silabs           a09dd1b82b24aa3060e162c0dfa40026c0dba450 https://github.com/zephyrproject-rtos/hal_silabs
